Top 10 by YTD Performance,,,,,Last refreshed: 2025-11-14T15:00:10.721Z,2025-11-14 12:44:43
,,,,,,
Ticker,Last Price,Prev Year Close,YTD %,,,
AVGO,$339.98 ,$231.84 ,46.64%,,,
GOOGL,$278.57 ,$189.30 ,47.16%,,,
NVDA,$186.86 ,$134.29 ,39.15%,,,
ORCL,$217.57 ,$166.64 ,30.56%,,,
JNJ,$195.25 ,$144.62 ,35.01%,,,
PH,$841.94 ,$636.03 ,32.37%,,,
JPM,$309.48 ,$239.71 ,29.11%,,,
LLY,"$1,022.87 ",$772.00 ,32.50%,,,
ABBV,$232.29 ,$177.70 ,30.72%,,,
NFLX,"$1,154.23 ",$891.32 ,29.50%,,,
